,出現度数
Goetz S. Uhrig,42
Abhay Ashtekar,42
Frank Marsiglio,42
Balazs Dora,42
Grigoris Panotopoulos,42
Anthony Piro,42
Vladimir Ivashchuk,42
Daniel Litim,42
Kazuhiro Yamamoto,42
Marcus Spradlin,42
Francesco Giacosa,42
Doerte Blume,42
Don N. Page,42
Gautam Bhattacharyya,42
Nobuhito Maru,42
Krzysztof Sacha,42
Xiangdong Ji,42
S. Dhara SKD,42
Pedro Bicudo,42
Christopher J. Conselice,42
Sarbani Basu,42
Alexandros Kehagias,42
Claus Kiefer,42
Markus Diehl,42
Alin Panaitescu,42
Nikolai M. Chtchelkatchev,42
Yan-Gang Miao,42
Leo Radzihovsky,42
Avinash Singh,42
Gang Cao,42
Adam Falkowski,42
Romuald A. Janik,42
Leticia Cugliandolo,42
Thierry Rabilloud,42
Naoki Masuda Dr.,42
Rudnei O. Ramos,42
Henning Samtleben,42
Koji Hashimoto,42
Lev Kaplan,42
Felipe J. Llanes-Estrada,42
Balasubramanian Ananthanarayan,42
Asle Sudbo,42
Roman Pasechnik,42
Choon-Lin Ho,42
Bijaya Sahoo Dr.,42
Martin Plenio,42
Joseph Kapusta,42
Stefan Scherer,42
Robert J. Scherrer,41
Sandro Mereghetti,41
Michael Kastner,41
Ikuo Ichinose,41
M. B. Paranjape,41
Glenn Barnich,41
Ivan Kaygorodov,41
Laurent Bartholdi,41
David S. Dean,41
Brian Dolan,41
Emmanuel Guitter,41
Lavinia Heisenberg,41
Victor M. Yakovenko,41
Alexander Kamenshchik,41
Shinji Ejiri,41
Kristen Menou,41
Enzo Marinari,41
Sohrab Rahvar,41
Carlos A. S. Almeida,41
Davoud Kamani,41
Yi-Fu Cai,41
X. F. Sun,41
Kanehisa Takasaki,41
Jiri Krticka,41
Ralph Kenna,41
Roberto Onofrio,41
Igor Solovyev,41
Bang-Gui Liu,41
J. Sanchez Almeida,41
Bennie F. L. Ward,41
Luca Silvestrini,41
Thomas W. Baumgarte,41
Charles Gale,41
Manasvi Lingam,41
Andreas Koch,41
Michael Trott,41
Dietmar Klemm,41
Thomas Thiemann,41
Taksu Cheon,41
Martin Magnuson,41
Lothar Tiator,41
Christoph Simon,41
Seung-il Nam,41
Sara L. Ellison,41
Bernhard Keimer,41
Henri Gouin,41
Thomas Gehrmann,41
Chen Wang,41
Piero Nicolini,41
Marcello Lissia,41
C. Hanhart,41
Shinji Mukohyama,41
Luis Ho,41
Marco Radici,41
Ewa L. Lokas,41
Henrik Bruus,41
Shuang Nan Zhang,41
Rob Jeffries,41
Ting Gao,41
Zurab Tavartkiladze,41
Joerg Jaeckel,41
Stefan Groote,41
Vladimir Tuz,41
Alexander K. Hartmann,41
Ramona Vogt,41
Massimiliano Grazzini,41
Antonio M. Lallena,41
J. S. Kaastra,41
Rong-Gen Cai,41
Jon Links,41
Laszlo Feher,41
Michele Caselle,41
Gregory Gabadadze,41
Dragan Huterer,41
Michael Thoennessen,41
Bjorn Poonen,41
David Sanchez,41
Maurice H. P. M. van Putten,41
Alessio Zaccone,40
David Langlois,40
Gernot Akemann,40
Tetsuo Hyodo,40
Panagiota Kanti,40
Yogesh N. Joglekar,40
Alexei P. Martynenko,40
Marco Zoli,40
Claudio Conti,40
Pieter van Dokkum,40
Amir Masoud Ghezelbash,40
Andrzej Sitarz,40
Darryl D. Holm,40
Nate Bastian,40
Michael Lublinsky,40
Andreas Winter,40
Takahiro Fukui,40
Renard Fernand Michel,40
Adam Bzdak,40
Vladimir P. Mineev,40
Sven Bjarke Gudnason,40
Raul Toral,40
Elena Bratkovskaya,40
Eric Bertin,40
Hai-Hu Wen,40
Christian Fuchs,40
Piljin Yi,40
Sornette,40
Mark Saffman,40
Tord Riemann,40
Marianna Safronova,40
Rebecca Martin,40
Zhaoqing Feng,40
Mannque Rho,40
Carlo Giunti Dr.,40
Sameer Ikhdair,40
Christiane Koch,40
Marc Kamionkowski,40
George F. Bertsch,40
Krzysztof Belczynski,40
Fuqiang Wang,40
Joerg Schumacher,40
Roman Popovych,40
Simon Catterall,40
Victor P. Ruban,40
A. K. Chaudhuri,40
Francesco Cianfrani dr,40
Andrea Lapi,40
Yoshitaka Hatta,40
Thorsten Feldmann,40
Pedro Sarriguren,40
David Wood,40
Ulrich Ellwanger,40
Simone Speziale,40
Anjan Ananda Sen,40
Li-Xin Li,40
Xiang-Bin Wang,40
Chi-Sing Lam,40
Eugene Zabrodin,40
Omar Mustafa,40
Ricardo Gonzalez Felipe,40
David Dudal,40
Nigel B. Wilding,40
Farhad Yusef-Zadeh,40
Nick Gnedin,40
Jinn-Ouk Gong,40
Erik Luijten,40
Chui-Ping Yang,40
Axel Pelster,40
Serge Galam,40
Stefano Lepri,40
Tanmoy Das,40
Gang Chen,40
Binghai Yan,40
Misha Stephanov,40
Benjamin Doyon,40
Corey S. O'Hern,40
Jens Harting,40
John Schliemann,40
Francois Gelis,40
C. Pallis,40
Masahito Hayashi,40
Wlodek Bednarek,40
Jian-Min Wang,40
Robert Oeckl,40
Ian Smail,40
"Uwe C. T\""auber",40
Lei Wu,39
Clifford M. Will,39
Dr. Anirudh Pradhan,39
Duccio Fanelli,39
Chihiro Sasaki,39
Dong Lai,39
Kaustubh Priolkar,39
Zaza Osmanov,39
Warren R. Brown,39
Eduard P. Kontar,39
Anders Johansen,39
Chris Clarkson,39
Eytan Katzav,39
Maresuke Shiraishi,39
Antonino Di Piazza,39
Shibaji Roy,39
Hui Tian,39
Knut Bakke,39
Qijin Chen,39
Stefan Dittmaier,39
Ulrich S. Schwarz,39
Thomas Schwetz,39
Kei-Ichi Kondo,39
Andrei Smilga,39
Carlos Allende Prieto,39
Marco Battaglia,39
Abhishek Dhar,39
Alexander Tsirlin,39
Alexei Morozov,39
Feng-Kun Guo,39
Edward A. Baron,39
Pavel Krtous,39
Simon Hands,39
Colin Wilkin,39
Rob Ivison,39
Daniel Phillips,39
Kayll Lake,39
Lin Zhang,39
Silvio Paolo Sorella,39
Jeonghyeon Song,39
Massimo Porrati,39
Adam Miranowicz,39
Valenti Bosch-Ramon,39
Fan Yang,39
Gui Lu Long,39
Christian Kurtsiefer,39
Guo-Zhu Liu,39
Reza Asgari,39
Bartlomiej Szafran,39
Enzo Granato,39
Farrukh Mukhamedov M.,39
Jerome Martin,39
Berndt Muller,39
David Wands,39
Eugenio Carretta,39
Enrico Carlon,39
Nikolaos Fytas G.,39
Susan Gardner,39
Mark Hillery,39
Subenoy Chakraborty,39
Masatoshi Imanishi,39
Mankei Tsang,39
Tommy Ohlsson,39
Amar  Prasad Misra,39
Masahito Mochizuki,39
Daniel Braun,39
Kevin Heng,39
Christophe Texier,39
D. N. Basu,39
Stephen Curran Dr,39
Tomoi Koide,39
Kazuo Ghoroku,39
Jose M. Isidro,39
Jerome Petri,39
Alexander Smirnov,39
Marcio Catelan,39
Mark Hertzberg,39
Yan Levin,39
Mark Strikman,39
Franco Bagnoli,39
Lixin He,39
Klaus Behrndt,39
Ruslan Metsaev,39
Eugene Kogan,39
Anton Galajinsky,39
Brian Metzger,39
Biskup Marek,39
Skenderis Kostas,39
Peng Wang,39
"Bj\""orn Schenke",39
Leonardo Cosmai,39
Paul Romatschke,39
Martti Raidal,39
Luca Leuzzi,39
Stefano Mossa,39
Takashi Hotta,39
Michele Bellazzini,39
Paolo Pani,39
Ju-Jun Xie,39
Xiao-Gang Wen,39
Troels Harmark,39
Igor Goychuk,39
Debasish Borah,39
Arvind,39
Stephan Narison,39
Philip Massey,39
Georgios Kavoulakis,39
John Gough,39
Mario I. Molina,39
Blas Manuel Rodr\'iguez-Lara,39
Aigen Li,39
Akihisa Koga,39
Peggy Li H.Y.,39
Eugenio R. Bezerra de Mello,39
Takehito Yokoyama,38
Kurusch Ebrahimi-Fard,38
Yvan Castin,38
Antonio Pineda,38
Ryosuke Kadono,38
Ramin Golestanian,38
Sugumi Kanno,38
Anirban Kundu,38
Oscar Rosas-Ortiz,38
Matthew England Dr,38
Michel Gingras,38
Felix Ritort,38
Stacy McGaugh,38
Vladimir Yuryev,38
Thomas Sotiriou,38
Marco Peloso,38
Chaohong Lee,38
Norimi Yokozaki,38
Gilberto Tavares-Velasco,38
Mario Rocca,38
N. P. Ong,38
Pierre Richard,38
Andres Asensio Ramos,38
Osamu Seto,38
Philipp Werner,38
Eduardo Garrido,38
Stanislaw Mrowczynski,38
Solomon Akaraka Owerre,38
Wei Bao,38
Marek Gazdzicki,38
Jose M. M. Senovilla,38
John Klauder,38
Roman Konoplya,38
Jonathan Granot,38
Andre Geim K,38
Beom Jun Kim,38
"Petri K\""apyl\""a",38
K. Splittorff,38
Saulo Carneiro,38
J. M. Maillard,38
Dennis Zaritsky,38
Tapobrata Sarkar,38
Bernardo Barbiellini,38
Gia-Wei Chern,38
Marcus Bleicher,38
Karl-Henning Rehren,38
Guang-Yu Guo,38
Stephen Teitel,38
Xuelei Chen,38
Pasquale Blasi,38
Olivier Mousis,38
A. S. Alexandrov,38
Alberto Sesana,38
Oscar J. C. Dias,38
Hui Zhao,38
David Andelman,38
Shun-Qing Shen,38
Kazumi Okuyama,38
Christopher Herzog,38
Michael Baake,38
Fei Wang,38
Qing-Hong Cao,38
Svend-Age Biehs,38
Sergio Dain,38
Antoine Van Proeyen,38
Konrad Swanepoel,38
Bingsong Zou,38
Nicolas Dupuis,38
Bin Zhang,38
Dam Thanh Son,38
Jochen Greiner,38
Kazuo Hida,38
Piotr Bizon,38
Laszlo L. Kiss,38
Dirk K. Morr,38
"Ali \""Ovg\""un Dr.",38
Pratap Raychaudhuri,38
Michael Galperin,38
Michal Silarski,38
Stefan Hollands,38
Daniel Kabat,38
Tomohiro Harada,38
Frank Wilczek,38
Scott J. Kenyon,38
Archil Kobakhidze,38
Filippo Radicchi,38
Markus Lazar,38
A. H. Rezaeian,38
P. S. Bhupal Dev,38
Jialun Ping,38
V. G. Gurzadyan,38
Yue Zhang,38
Federico Ricci-Tersenghi,38
Jos\'e M. Figueroa-O'Farrill,38
Oriol T. Valls,38
Alexey Rastegin,38
Edmond Orignac,38
Nuno Crokidakis,38
Chiang-Mei Chen,38
Qiang Yuan,38
Oscar Iglesias,38
Gao-Chan Yong,38
Jean-Marc Richard,38
Vasilis Niarchos,38
Andrea Crisanti,38
Aram Saharian,38
Andrew Sutherland,38
Piet Brouwer,38
Ergin Sezgin,38
Michael Wilkinson,38
Christian Schubert,38
Adrian Dumitru,38
Philippe de Forcrand,38
Giulio Chiribella,38
Preprint account,38
Syksy Rasanen,38
Marco Matone,37
Tetsuya Takaishi,37
Takashi J. Moriya,37
Jean-Luc Lehners,37
Kwan-Woo Lee,37
Carsten Timm,37
Vladimir Karas,37
Federico Toschi,37
Valentin V. Khoze,37
Maarten F. L. Golterman,37
Qing-Feng Sun,37
Jae Woo Lee,37
Hitoshi Nishino,37
Dmitri Gal'tsov,37
Hyerim Noh,37
Fabio Bagarello Dr.,37
Masaki Yamada,37
Nathan Jacob Berkovits,37
Peter Young,37
Marcel Franz,37
Paul H. Frampton,37
Geraint F. Lewis,37
Kei Yagyu,37
Fu-Hu Liu,37
John McGreevy,37
Hideo Hasegawa,37
Elias Kiritsis,37
David Petrosyan,37
Bhaskar Dutta,37
Tatsuo Kobayashi,37
Angel Sanchez,37
Haim Diamant,37
Muneyuki Ishida,37
Paolo Olivero,37
D. Kotschick,37
Paolo Facchi,37
Slava Yukalov,37
Pierre Mathieu,37
Chris Michael,37
Ralf Schutzhold,37
Rogerio Rosenfeld,37
Tomas Jungwirth,37
Julien Toulouse,37
Alexander G. Ramm,37
Anatoly Radyushkin,37
Antonino Del Popolo,37
Bernhard Rumpe,37
Tao Li,37
Yun-Song Piao,37
Michael Thies,37
V. Ryzhii,37
Victor Flambaum,37
Michael Creutz,37
Uwe Aickelin,37
Matteo Luca Ruggiero,37
Tekin Dereli,37
Richard J. Hemingway,37
Andrew Kirk,37
Amit Agarwal,37
Santi Peris,37
Alex Levchenko,37
Guenther Ruediger,37
Bernd Lorenz,37
Christian Flindt,37
Iain W. Stewart,37
Claudius Gros,37
Xin-She Yang,37
Nicola Scafetta,37
Shailesh Chandrasekharan,37
Jorick S. Vink,37
Enrique Gaztanaga,37
Enrique Solano,37
Nicolas Yunes,37
Devendra Ojha K,37
Cosmo Lupo,37
Qimiao Si,37
Yuki Nagai,37
Jean-Christophe Pain,37
Jonas Fransson,37
J.D. Vergados,37
Michele Ceriotti,37
Yuri B. Ivanov,37
George Papadopoulos,37
Jonathan C. Tan,37
Lance Dixon,37
Steven R. Cranmer,37
Naomichi Hatano,37
Shantanu Desai,37
Thomas A. DeGrand,37
Remo Garattini,37
Steven J. van Enk,37
Yang Bai,37
Galina Korotkova Gennadievna,37
Alexei Moiseev,37
Sergio L. A. de Queiroz,37
Asher Peres,37
Gen Tatara,37
Massimo Rontani,37
Yaroslav Tserkovnyak,37
Armando A. Aligia,37
Alexander Lutovinov,37
Andrei Tokovinin,37
K. A. Postnov,37
Xingjiang Zhou,37
Massimo Boninsegni,36
David L. Kaplan,36
Yu. G. Naidyuk,36
Jae Sik Lee,36
Yukitoshi Motome,36
Paul Steinhardt,36
Masashi Shiraishi,36
Massimiliano Rinaldi,36
Soebur Razzaque,36
Aneesh Manohar,36
Cynthia J. Olson,36
Achille Giacometti,36
Ansgar Denner,36
Roland Mathieu,36
Romualdo Pastor-Satorras,36
Michael Fogler,36
Arnon Dar,36
Cristiano Ciuti,36
Vahid Karimipour,36
Wei Zhu,36
Alexander Studenikin,36
Bassano Vacchini,36
Keshav Dasgupta,36
Jean Van Schaftingen,36
Sitabhra Sinha,36
Zhe Wang,36
Tommaso Roscilde,36
Christoph Englert,36
Mohsen Shadmehri,36
Mikhail Zubkov Dr,36
Mahn-Soo Choi,36
Valentino Tosatti,36
Andrea Puglisi,36
Cyrill Muratov,36
J. R. Goicoechea,36
Youichi Yanase,36
Sergey Kravchenko,36
Jan Plefka,36
Kazushi Iwasawa,36
Petr Horava,36
Sergey Yu. Vernov,36
Alireza Saffarzadeh,36
Luis Robledo,36
Harleen Dahiya Dr.,36
Marcello Ortaggio,36
Stephen R. Sharpe,36
Parinya Karndumri,36
Howard M. Wiseman,36
Jianghui Ji,36
Massimo Di Toro,36
Gerard Clement,36
Andrii Neronov,36
Sayantan Choudhury,36
Nikolai Uraltsev,36
Aurel Bulgac,36
Jin-Wu Jiang,36
Benjamin F. Williams,36
Chetan Nayak,36
Giovanni Bussi,36
El Hassan Saidi,36
Sergey Mikhailov,36
Riccardo Fantoni Dr.,36
James Binney,36
Maria Rosa Zapatero Osorio,36
Joe Polchinski,36
Chuanwei Zhang,36
Allen Stern,36
Hsiao-Wen Chen,36
Gregory Schehr,36
Patrick Woudt,36
Gordon Ogilvie,36
Brian Skinner,36
Jakub Zakrzewski,36
Richard P. Sear,36
Yen Chin Ong,36
Armen Allahverdyan,36
Tom\'a\v{s} Brauner,36
Mike Norman,36
Alejandro Ayala,36
HongWei Ke,36
Antonio Bianconi,36
Nikolaos Tetradis,36
Hui Zhai,36
S. Prem Kumar,36
James Lutsko,36
Kyrill Bugaev,36
Adolfo Avella,36
Eligio Lisi,36
Dmitri Antonov,36
Neil F. Johnson,36
Luigi Foschini,36
Rick Van Kooten,36
Kun Yang,36
Rajan Gupta,36
Ralf Meyer,36
Everton Murilo Carvalho Abreu,36
Guo-Ping Guo,36
Roberto Aloisio,36
In Yong Park,36
Lara Sidoli,36
Supriya Pan,36
Denis Grebenkov,36
Jacques Soffer,36
Frank Stefani,36
E.K. Liu,36
Jianxin Lu,36
Paul K. Townsend,36
Margarete Muhlleitner,36
Jonathan A. Jones,36
Mario Silveirinha G.,36
LVC Publications,36
"Holger M\""uller",36
Constantine Yannouleas,36
Ulrich Kuhl,36
Larry Zamick,36
Georg Wolschin,36
Ulf Leonhardt,36
Chi-Thiem Hoang,36
Hao Zhang,36
Luc Blanchet,36
Pietro Colangelo,36
Dmitri Sorokin,36
Albert Kong,36
John Arrington,36
Ulli Wolff,36
Yue Yu,36
Yun Soo Myung,36
Andre LeClair,36
William Detmold,36
Jie Jiang,36
Volodymyr Vovchenko,35
Rafael A. Garcia,35
Andrea De Martino,35
Daniel Lemire,35
Gouranga Nayak,35
Philip Hofmann,35
Ilya Eremin,35
Deog Ki Hong,35
Xiaoguang Wang,35
Beatrix Hiesmayr C.,35
R. F. O'Connell,35
Yoshiharu Kawamura,35
Nusser,35
Shan-Gui Zhou,35
Kamal Lochan Panigrahi,35
Rosario Lo Franco,35
John A. Tomsick,35
Lajos Di\'osi,35
Achim Schwenk,35
David Kastor,35
Mariano Quiros,35
Vladimir S. Manko,35
Gilberto Medeiros Kremer,35
Hassan Firouzjahi,35
Kin Wah Yu,35
Esteban Roulet,35
Gustavo Garcia Rigolin,35
J. P. Ma,35
Gary T. Horowitz,35
Shinji Watanabe,35
Janusz Grabowski,35
Roumen Tsekov,35
Luigi Coraggio,35
Ryan J. Foley,35
George Lazarides,35
Hossein Farajollahi,35
Andreas Gustavsson,35
Remi Carles,35
Andre Lukas,35
Klaus Capelle,35
Brian E. Wood,35
Andreas Ringwald,35
G.R. Boroun,35
Tomonori Totani,35
Pierre-Fran\c{c}ois Loos Dr,35
Hubert Spiesberger,35
Nathan Berkovits,35
Becca Federico,35
Michael Dine,35
Rennan Barkana,35
Thayne Currie,35
Martin Lopez-Corredoira,35
Enrico Barausse,35
Axel Kleinschmidt,35
Calin Iuliu Lazaroiu,35
R Mittal,35
Anatoly D. Erlykin,35
Ayres Freitas,35
Yong-il Shin,35
Hechang Lei,35
Zhun Lu,35
Marta Volonteri,35
Gonzalo Olmo,35
Wynn C. G. Ho,35
Morten Hjorth-Jensen,35
Weonjong Lee,35
Michael Gronau,35
Roberto Soler,35
Dirk Kreimer,35
Artemio Gonzalez-Lopez,35
Juan Garcia-Bellido,35
Shigehiro Yasui,35
Ruth Gregory,35
Jim Cline,35
Dimitrie Culcer,35
Patricia Ball,35
Savely G. Karshenboim,35
Marty Stock,35
Arun Paramekanti,35
J. A. Sauls,35
Yutaka Hosotani,35
Tomaso Belloni,35
Richard Easther,35
Jian-Jun Shu,35
Rachid Ouyed,35
Tigran V. Shahbazyan,35
Yoshihiro Nishiyama,35
Marc Vanderhaeghen,35
Dennis Bonatsos,35
Jon Machta,35
Aranya Bhattacherjee Dr.,35
Nader Haghighipour,35
Michael Coughlin,35
Sergio Ciliberto,35
Daniel Schaerer,35
Paolo Padoan,35
Keisuke Harigaya,35
Michael Bender,35
Lincoln D. Carr,35
Mohammad Khorrami,35
Igor Klebanov,35
Charles B. Thorn,35
Marco Serone,35
Karol Szalowski,35
Shi-Jian Gu,35
Masashi Wakamatsu,35
Stefano Zapperi,35
Boris Tomasik,35
Petr Navratil,35
Dima Shepelyansky,35
Rudolf Treumann,35
Lorenzo Sebastiani,35
Don Marolf,35
Bozek,35
Pietro Faccioli,35
Steve King,35
Edward Anderson,35
Antonio M. Garcia-Garcia,35
Sergei Ketov,35
Bronislav Zakharov,35
Mikhail Zverev,35
Konstantinos Dimopoulos,35
Soo-Jong Rey,35
Martin Lemoine,35
Takeo Moroi,35
Michael R. Norman,35
George Savvidy K,35
Yosef Zlochower,35
Clive Emary,35
Thomas Buchert,34
Ralf-Dieter Scholz,34
Renaud Lambiotte,34
Tod E. Strohmayer,34
Hanqing Zheng,34
Masato Minamitsuji,34
Franc Forstneric,34
Ernesto F. Eiroa,34
F. Javier Garcia de Abajo,34
Colin Morningstar,34
Washington Taylor,34
Bernd Berg,34
Changbong Hyeon,34
Masanao Ozawa,34
Attilio Cucchieri,34
Roman Orus,34
Boris Gaensicke,34
Strecka Jozef,34
Wei Cui,34
James Wells,34
"J\""urgen M\""unch",34
Mikhail Smolyakov,34
Sigma,34
H. Suderow,34
Chris White,34
Yuri Yu. Tarasevich,34
Kimet Jusufi,34
Kim Page,34
Murray Olsen Dr,34
Kai Wang,34
Maurizio Gasperini,34
Muktish Acharyya,34
HongSheng Zhao,34
Antonio Pich,34
Chang Liu,34
David Yong,34
Maxim Pospelov,34
Mohammad Ali Rajabpour,34
Campana,34
Steven D. Bass,34
Valerio Bozza,34
Yi Yang,34
Pablo Laguna,34
Alejandro Corsico,34
Alberto  Mart\'inez Torres,34
Silas Beane,34
Giuseppe Vallone Dr.,34
Nicolas Regnault,34
Alexey A. Petrov,34
Christopher Evans,34
James P. Eisenstein,34
My Account,34
H. J. Xiang,34
Tao Wang,34
Csaba Csaki,34
Tsutomu Kobayashi,34
Alexandre Zenchuk,34
Domingo Anibal Garcia-Hernandez Dr.,34
Alexander Belyaev,34
Grzegorz Szamel,34
Elcio Abdalla,34
Marco Baldi,34
Marek Szydlowski,34
Roberto Passante,34
Joel Giedt,34
Sunil Mukhi,34
Jiannis Pachos,34
Nikos Prantzos,34
Peter Csermely,34
Volker Meden,34
Roberto Floreanini,34
Dibakar Roychowdhury,34
Xi-Wen Guan,34
Martin Weigel,34
Ebrahim Karimi,34
Istvan Montvay,34
Tomislav Prokopec,34
Renato J Cintra,34
Michael J. W. Hall,34
Stefan Heun,34
Christian Kuehn,34
Jules P. Halpern,34
Qing-Hu Chen,34
Jing Liu,34
Yuan Li,34
Sebastian Franco,34
Igor Nekrasov,34
Hans J. Haubold,34
Satoshi Nakamura,34
Jose Antonio Oller,34
Alexei Tsvelik,34
Nikodem Poplawski,34
Abhijit Majumder,34
Andrea Zoia,34
Chow-Choong Ngeow,34
Volodymyr Magas,34
Janos Polonyi,34
Lijun Zhu,34
Daisuke Jido,34
Luiz Agostinho Ferreira,34
Oded Farago,34
Dmitry Budker,34
Behrouz Mirza,34
Rafel Escribano,34
Xi Chen,34
Kallosh Renata,34
Hyunggyu Park,34
Raul Rossignoli,34
J. G. Muga,34
Alfonso V. Ramallo,34
Edouard B. Sonin,34
Leonid Burakovsky,34
Giuseppe Gaeta,34
Jeremy M. Hutson,34
Steven Weinberg,34
Tadashi Takayanagi,34
Ulrich Hohenester,34
Andrei Zotov,34
Volker Eyert,34
Jerzy Kowalski-Glikman,34
Tilo Wettig,34
Alexander Germanenko,34
Tao Han,34
John Cardy,34
Wang Jian,34
Antonio Vairo,34
Charles Marcus,34
Aleksandar Donev,34
Patrick Christopher Fragile,34
Guo-Li Wang,34
Cristina Volpe,34
Ulrich Mosel,34
Anton Andronic,34
John F. Gunion,34
Adam Ritz,34
Jose Fontanari,34
Florian Staub,34
B. J. Powell,34
Ian G. Moss,34
Haye Hinrichsen,34
Achille A. Nucita,34
Tabish Qureshi,34
Takafumi Kita,34
Yu. S. Dedkov,34
Andrei Derevianko,34
Jambul Gegelia,34
Yunbo Zhang,34
Philipp Gegenwart,34
Keiichi Maeda,34
Anton Burkov,34
Yuri Makeenko,34
David Tsiklauri,34
Yan V. Fyodorov,34
Petr Zasche,34
Gianguido Dall'Agata,34
Th. M. Nieuwenhuizen,34
Carlos F. Sopuerta,34
Antun Balaz,34
Eugenio  Megias,34
Jorge Noronha,34
Xiongfeng Ma,34
Benito Hern\'andez-Bermejo,34
Jose Ramon Espinosa,34
Domenico Orlando,34
Hyeong-Chan Kim,34
Omer Faruk Dayi,34
Ren\'e Heller,34
Davide Rossini,34
Yu Liu,34
Narciso Roman-Roy,34
A. Sherman,34
Jan Naudts,34
Ran Li,34
Omer Tamuz,34
Johann Kroha,34
Patricio Gaete,34
Evgeny Epelbaum,33
Mikhail Zubkov,33
Gustavo Burdman,33
Parthapratim  Pradhan,33
Scott A. Hughes,33
Anne Schilling,33
Soeren S. Larsen,33
Burkhard Kaempfer,33
Nitin Samarth,33
Gholam Hossein Bordbar,33
Xiong-Jun Liu,33
Gilad Gour,33
Alexander Popov,33
Juan I. Collar,33
Ryutaroh Matsumoto,33
Hong Shen,33
Andrea Ferrari,33
Claudio Ciofi degli Atti,33
C. W. Chu,33
Keh-Fei Liu,33
Helmut Satz,33
Xinwu Cao,33
David Kubiznak,33
R. S. Gonnelli,33
J. Ponce de Leon,33
Francesco Vissani,33
Dirk Schuricht,33
Peter W. Michor,33
Tadeusz Domanski,33
Bing Dong,33
Alessio Mucciarelli,33
Ivo de Medeiros Varzielas,33
Peter Schmelcher,33
Geoffrey C. Bower,33
Robert Eder,33
Kirill Belashchenko,33
Hui Liu,33
Roger W. Romani,33
Leandro Vendramin,33
Leonardo Gualtieri,33
Martin Z. Bazant,33
Matthias Jamin,33
Luis Roca,33
Fabian Schmidt,33
Radhey Shyam,33
Tim Bedding,33
Lode Pollet,33
Ferenc Kun,33
Christopher D. Carone,33
Johannes Richter,33
Neelima Kelkar Dr,33
Hooman Davoudiasl,33
Dan Maoz,33
Tomotsugu Goto,33
Jun Zhao,33
R\'obert Juh\'asz,33
Savdeep Sethi,33
Li Li,33
Michele Maltoni,33
Lisi Eligio,33
Andrei M. Beloborodov,33
Valery Pipin,33
Jian-Sheng Wang,33
Carla Figueira de Morisson Faria,33
Puxun Wu,33
J. Fernando Barbero G.,33
Michael Tarbutt,33
Sarah Emery Bunn,33
Congjun Wu,33
"J\""orn Dunkel",33
Harvey S. Liszt,33
Ramaz Khomeriki,33
Michele Fabrizio,33
Andrey Zheludev,33
Jo Bovy,33
Nicolas Lodieu,33
Sergei Popov B.,33
Taha Sochi,33
Rainer J. Fries,33
Fedele Lizzi,33
Jaume  Haro,33
Ryo Yamazaki,33
Dirk Puetzfeld,33
Herbert Muther,33
Cai-Dian Lu,33
V. O. Nesterenko,33
Tamas Csorgo,33
Genevieve Belanger,33
Andrea Rapisarda,33
Yu Chang-shui,33
Ahmed Ali,33
Eckhard Elsen,33
Paul Kinsler,33
Richard Berkovits,33
Thomas Gilbert,33
Julian Heeck,33
Bernard Pire,33
Lorenzo Zaninetti,33
Marco Stratmann,33
Robert D. Pisarski,33
Stefano Ettori,33
Hisham Sati,33
Chris Quigg,33
Masahiro Ibe,33
Xiang-Dong Li,33
Pardyumn Kumar Sahoo,33
Jan Sperling,33
Alexei Buzulutskov,33
Hayato Motohashi,33
Nanda Rea,33
Morimitsu Tanimoto,33
Roy Lacey,33
Yuri Obukhov,33
Fabio Bresolin,33
Elena Pian,33
Katsuaki Asano,33
Senarath P. de Alwis,33
Gaetano Lambiase,33
Massimo Capone,33
Gaetano Fiore,33
Sergei Yurchenko N,33
Antti Niemi,33
Stefano Frixione,33
Peter Samuelsson,33
Peter Lemmens,33
Duncan K. Galloway,33
Peter Jonker,33
Vladimir Sergeichuk,33
Albert Bosma,33
Murat Gunaydin,33
Kazuhiko Kuroki,33
Eric Falcon,33
Philip D. Mannheim,33
Andrej Arbuzov,33
Timothy H. Boyer,33
T. Damour,33
Sergei Alexandrov,33
Toshiyuki Kobayashi,33
Aharon Levy,33
Francesco Sylos Labini fsl,33
Roman Kezerashvili,33
Francisco C. Alcaraz,33
"Mustapha Azreg-A\""inou",33
Eric Pop,33
Soumitra SenGupta,33
Jerry A. Sellwood,33
Amelia Carolina Sparavigna,33
Yuri Martinez-Raton,33
Yong Xu,32
P. Dalmas de Reotier,32
Ian Appelbaum,32
Daniel Blaschke,32
Heinz A. Clement,32
Richard I. Davies,32
Giacomo Beccari,32
Tatsu Takeuchi,32
Ignacio Negueruela,32
David Seery,32
Thomas Curtright,32
Yasuhiro Asano,32
Hoi Fung Chau,32
Kohei Hamaya,32
Mikhail Braun,32
Jarmo Hietarinta,32
Rahul Basu,32
Shinya Tomizawa,32
Hendrik van Hees,32
Merced Montesinos,32
Massimiliano Esposito,32
Gary Mamon,32
Alexander Nesterenko,32
Dremin,32
Lei Zhang,32
Alessandro Giuliani,32
Luca Vitagliano,32
Sibo Zheng,32
Sandhya Choubey,32
Jean-Yves Ollitrault,32
Sasha Chernyshev,32
Qiang-Hua Wang,32
Carsten Gundlach,32
Alexei M. Frolov,32
Yi Li,32
Martin Weigt,32
Edward Goldobin,32
